,input,output,gt
0,0," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Always stressing and thinking about loads of t...
reframed_text          Loads of things on my mind, I need to make a l...
strategy                                      ['growth', 'neutralizing']
original_with_label    Always stressing and thinking about loads of t...
Name: 0, dtype: object"
1,1," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          The list of things I have to do today is forev...
reframed_text          Today I have a lot to do. Time for productivit...
strategy                                          ['growth', 'optimism']
original_with_label    The list of things I have to do today is forev...
Name: 1, dtype: object"
2,2," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          If I don't have a mental breakdown before the ...
reframed_text          I'm going to look after my mental health over ...
strategy                          ['growth', 'neutralizing', 'optimism']
original_with_label    If I don't have a mental breakdown before the ...
Name: 2, dtype: object"
3,3," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          I just caught myself taking extra deep breaths...
reframed_text                       Trying to keep breathing. Extra deep
strategy                                                ['neutralizing']
original_with_label    I just caught myself taking extra deep breaths...
Name: 3, dtype: object"
4,4," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Worst night ever. Just one bad thing after ano...
reframed_text          I had a tough night but it's over and the holi...
strategy                                                ['impermanence']
original_with_label    Worst night ever. Just one bad thing after ano...
Name: 4, dtype: object"
5,5," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Christmas shopping is hard and it even makes m...
reframed_text          I would love to get done with Christmas shoppi...
strategy                                    ['impermanence', 'optimism']
original_with_label    Christmas shopping is hard and it even makes m...
Name: 5, dtype: object"
6,6," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Why is it so hard to get one day of alone time...
reframed_text          I could really do with some peace and quiet fo...
strategy                                                ['neutralizing']
original_with_label    Why is it so hard to get one day of alone time...
Name: 6, dtype: object"
7,7," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          All this school work due in the next two days,...
reframed_text          I'll find time for my schoolwork in between my...
strategy                                  ['growth', 'self_affirmation']
original_with_label    All this school work due in the next two days,...
Name: 7, dtype: object"
8,8," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          Trying to find clothes for Emily that match in...
reframed_text          Can't wait to not be responsible for Emily's c...
strategy                                                    ['optimism']
original_with_label    Trying to find clothes for Emily that match in...
Name: 8, dtype: object"
9,9," orderIf I don't get outta bed I won't have to deal with this stupid headache that keeps coming..
reframed:I may have a headache from the stupid headache that keeps coming, but I will go to sleep and rest for a while and deal with it as I am strong.","original_text          fancy making a time machine? Not enough time i...
reframed_text          Not enough time in the day for all this revisi...
strategy                                ['neutralizing', 'thankfulness']
original_with_label    fancy making a time machine? Not enough time i...
Name: 9, dtype: object"
