,input,output,gt
0,Always stressing and thinking about loads of things at once need I take it one at a time overload stressed need to rant,"It always takes a long time for me to rant, but at least it's over.","Loads of things on my mind, I need to make a list, prioritise and work through it all calmly and I will feel much better."
1,The list of things I have to do today is forever long. Can I just go back to bed and wake up tomorrow with everything done?,"I have a lot to do, but I know that going forward I should take some time off to do things, because I am going to get a lot of errands done.",Today I have a lot to do. Time for productivity not procrastination.
2,"If I don't have a mental breakdown before the end of summer, it will be a miracle..","If I don't have a mental breakdown before the end of summer it will be a miracle, but it'll be a miracle as it's only the first half of it.","I'm going to look after my mental health over the summer, so I don't have a mental breakdown."
3,I just caught myself taking extra deep breaths as if it would somehow help Hallie breathe.,"I know I can feel the sweet smell of taking extra deep breaths, but I'm glad I can actually hold my breath.",Trying to keep breathing. Extra deep
4,Worst night ever. Just one bad thing after another! This holiday is coming at the right time I think,"I've had a rough week, but I'm sure this year will be better.",I had a tough night but it's over and the holiday is just around the corner!
5,Christmas shopping is hard and it even makes me a little sad because it makes me doubt how well I know my family,Christmas shopping is hard but I'm glad I have my family to shop for.,I would love to get done with Christmas shopping so that I can get into holiday mode soon.
6,"Why is it so hard to get one day of alone time, of peace and quiet???",Not being able to have time for alone time is something that makes me feel peace and quiet.,I could really do with some peace and quiet for a day
7,"All this school work due in the next two days, and I haven't touched any of it. And work this week, and coaching to",This school work I have to done for the next two days and I haven't done any other school work. But I have a lot of confidence so I will get some help.,"I'll find time for my schoolwork in between my coaching responsibilities, because that's important to me."
8,"Trying to find clothes for Emily that match in color and style, is worse than rocket science for me. Dad(LOL)",If I can learn to be more organized it will make me a better person in the end.,Can't wait to not be responsible for Emily's clothes. As a dad I just want my daughter to get able to do things for herself soon.
9,fancy making a time machine? Not enough time in the day for all this revision..any last minute tips?:L tired,"I'm getting pretty tired, so I'm going to make time to rest.",Not enough time in the day for all this revision. I have to spend more time on studying.
10,Ugh I have to wake up so early (9:00) and go to class (a massage). I have so much (so little) to do today.,9:00 a.m. and go to class at the same time as having a great time to myself. Glad I have time to rest.,"I get to have a nice early morning, have a productive day at school and get the rest done before bed."
11,"Sore throats are the worst, at least I get to spend the day with tea and pj's!!! needadayoff","throats are not the best. I get to spend the day with tea and pj's, and I am very happy.",Sore throats are somewhat irritating but I am happy that I can spend myday with pj’s and tea.
12,"got in a wreck, got a B in accounting, deciding whether to break up with my boyfriend, being at home where parents eat like CRAP",I'm going to take a break from accounting and friends to get some rest.,Having a really rough time at the moment but still managed to get myself a B in accounting.
13,I CANNOT be getting sick right now! I have wayyy too much to get done in this last month of the semester. :(,"Not getting sick is hard but I know that if I do all the things I am getting done this semester, I can get sick.","Hopefully, this cold I'm getting won't interfere with getting my schoolwork done for the rest of the semester."
14,I would never thought picking furniture for my first house would be so damn difficult!!,"picking the furniture for my first house is quite a challenge, but one can learn everything in the process.","I'm glad I have so many options of furniture to choose, because I'm sure I'll find something I like."
15,"Been a hell of a week. Tired is not the word. Anxieties on top of anxieties. Overworked. Over tired. Emergency vet trips. Dog mum stress. No words down yday. Today, rest. Tomorrow we start again. WritingCommnunity WritingCommunity",Hopefully I get into a better frame of mind and get some peace of mind soon.,Tomorrow will be a new day. I'll focus on my commitments without stressing and ejoy my time with my dog
16,"For the sake of the sanity of the students of Wales,please make sure your phone advisors know what their talking about",Students of the university want to know what the students want so they can help me.,The phone advisors at Wales need to make sure they know what they are talking about to ensure they can properly help the students that call in.
17,I'll do my english work in algebra and my economics work in anatomy tomorrow. lazy,I'll do my english work in algebra and my economics work in anatomy tomorrow.  I'm sure I'll do great.,I'll do my english work in algebra and my economics work in anatomy tomorrow. At least I'll be able to catch up on everything.
18,The Fray calms me down. Until I get worked up about situations Then I just need silence.,The Fray calms me down. It is important to me become a stronger person for my problems.,Silence calms me down when I’m all worked up.
19,I think having a test in history and chem on the same day is the worst combination,"chemisty and science classes are the best, chemistry and spanish tests are the best.","Having a test in history and chemistry on the same day is indeed tough, but hardwork leads to success."
20,You know I really don't care about the power struggle between the papacy and secular authority in the medieval ages. stupid,"You know I really don't care about the power struggle between the papacy and the secular authority in the medieval ages, but I need to start being more careful in the coming days.",I should concentrate on my own works.
21,Things are starting to change and that's not okay with me. Hate change. I wanna give up sometimes. Ugh,"ive been thinking about changing and that’s not okay. ive been thinking a lot about it and thats not ok. ive learned a lot. But that is how life is, and that is how nature is, and that is how nature is.","Things are starting to change, and I don't really like changes. But, that's necessary and life can't be always easy."
22,The most stressful thing is trying to find a new profile picture when you annoyed with the one you have,Instagram is always the best place to find new friends and family.,Finding a new profile picture to replace the unwanted one is a bit tough but you can always find a better one.
23,I miss all my best friends for real. I'm in such need of a girls night!,"I miss my best friends, but I know I can do so much fun with my friends.","Even though I miss my friends now, I know many things that could make me happy now."
24,"I want Blair and Chuck, Nate and Vanessa, Eric and I wished Jenny but unfortunately he likes guys , and Serena and Dan!!!!!!!!!! But NOOO","ive only had 2 days to really stuff my things, I am going to make sure I get over the rough times and those soon I will be back to my loving friends!","If Eric likes boys better, then that will leave more girls for me :D"
25,Driving to visit gran in hospital and son is sick all over him and car.So Ive had 2 go buy clothes and scrub car while dad visits gran,"Ive had 2 go to hospital and he is sick all over him, and I hope I get some clothes and he is in good health.",My son and my gran are sick but hopefully they will feel better soon.
26,"Not sure if it's the Naproxen I'm on for my tooth or this game, but my tummy hurts.","I'm not sure what I should do for my tummy, but I can't stop thinking about it.","Not sure if it's the Naproxen I'm on for my tooth or this game, but my tummy hurts. I'll focus on things that make me happy until the pain goes away."
27,Great Now How Am I Gunna Explain This To Her Shes So Close To Me I Cant Loose Her :'(,Now how am I going to explain to my mom how I am going to get this figured out!,"I'm pretty sure that if I'm sincere and open to her, she will understand."
28,"Things I don't feel like doing today: working, cooking, driving, showering, wearing real clothes You get the idea. tired","I'm not feeling good about these things,  I have to plan myself to improve them",I'm tired today but I'm thankful I have a job that I can go to and earn some money!
29,Had roughly 5 hours sleep over the past 3 days and all I can hear is snoring cantcope,"Thursday's sleep has been a lot of fun, even if snoring is an option.",Some people just can't run on 5 hours of sleep over three days.
30,thinking about my future makes me want to go live on a island alone forever. annoyed,It would be better if I lived on a island and had time to think about my future.,"My future seems to be unpredictable, so I can better go to an island and relax myself."
31,I know if i dont pick up my grades i can literally say bye bye to my dream college! :'(,I know if i dont pick up my grades i can say bye to my dream college!,I want to pick up my grades to improve and go to my dream college!
32,"If I make it through the next 2 weeks without having a mental breakdown, it'll be a miracle","If I make it through the next 2 weeks without having a mental breakdown it'll be miracle. I just have to keep going through it because I am strong, I know it.",I'm positive I can make it through the next few weeks while keeping my cool.
33,Finding another gray hair because I'm so stressed out. People seriously have no idea what Im dealing with right now.,I will relax tommorow.,"Finding gray hairs on me from all the stress, however it has been great for people to have reached out to help me deal with it."
34,Been watching a lot of WWII stuff because at least I know the authoritarians will be held accountable.,Hopefully the American people learn to understand the importance of the book for their stress.,"Yes, they certainly were held accountable.  Bad people usually get what is coming to them so I wouldn't worry too much about it."
35,Im going to have to toggle between the pens game and the new season of riverdale and Im,ive readying my assignments for this upcoming school year and it's very exciting.,I'm going to play pens game and the new season of riverdale in toggle.
36,"Damn , so many women, so many to choose from, but not really interested in any of them. damn stressed couldntsleep goodnight tho",It's a good opportunity to choose from a very diverse bunch of women.,One day I will find the one women I dream of!
37,"Ugh, tired of not having a job but nobody wants to higher someone that's leaving for college in 2 months!",I think I'm going to take a job that I enjoy as a college student and it'll get me a second job.,"It's hard for me to find a temporary job right now, but that's OK, because I start college it 2 months!"
38,In bed looking at the hall way waiting for the clown to appear so I can kill it and go to sleep. Come on brain you seriously need to chill. brainhealth Autopilot artlife Sleepless,I hope I am able to relax a bit at night so that I can have some rest in my day.,I'm having trouble sleeping.  I just need to relax and I'm sure I'll fall asleep soon.
39,Can't sleep coz I'm thinking about the all the work I have to do.. has made a broken girl outta me! :(,"I'm tired, but at least I get to have a nice long sleep tonight.",I need to organize myself and finish my works to be able to sleep well
40,It's bed. Long. Stressful day. And to put a cherry on that. I'm sick fml sick,"It's bed. Long. Stressful day. And to put a cherry on that. I'm sick. But I'm doing it because I'm getting well, and I'm doing it because I'm good.",I need sleep to rest and recover
41,Desperately in need of a massage Someone want to book me a nice spa appointment?,"I know that I am not good at what I want to do, but some good massage therapist will help.",I feel like I need a massage and a spa appointment would make me a better person.
42,I need a weekend get away. To bad that won't even get me away from homework wah,I would love a break from homework to have a weekend.,My homework might slow down a bit.
43,How am I meant to get an A and two B's in my A Levels!!! Queens you's are too strict! :( out,I hope I am able to get an A and two B's in my levels soon so that I am able to get both A and two B's at the same time.,"I need to get an A and two B's in my A- levels, it's really high but I know I can do it."
44,"Blaming my awful breakout on the fact we leave in just over 1 month and have made no further planning, or started moving out",I've made little progress on my breakout so I've been moving out of planning and need to find someone to move in.,I have to complete all my works before I leave.
45,Honestly don't know how I'm going to finish all of this homework and projects! homework FAIL Tired FML,I'm confident I will complete all of my homework and projects on time.,I have a lot of homework and projects to do but I am determined to do them.
46,One of those days where nothing has gone right and wishing I could have 1 day to just do nothing.,"ive only had one day to relax, but im grateful for that!","Today was not such a pleasant day, but I know some things I could do now to improve the end of the day."
47,Trying to remind myself that bombing this audition is a good thing. Stupid Jazz stupid scholarships.,I'm glad I have a chance to work with Jazz.,I tried my best at the audition. We can't all win I suppose.
48,Being ready to go back to school and being prepared to go back to school are two completely different things,I would love to go back to school and be ready to go back to school as soon as possible.,"Being ready to go back to school and being prepared to go back to school are two completely different things, but time will fix it."
49,In your stressful situation there is a peace that God gives you that is impossible for man to make!,I am thankful for the peace that God gave me.,I can think of several positive aspects that believing in God gives strenght in life
50,"1 test down, 1 test to go. usually i dont hate fridays but this one sucks.","1 test down, 1 test to go. When i say that this is a good start for me, all I ask for is some love.",Just this Friday to finish the last test.
51,talacre beach really need to sort there checking in routeen caravans are never ready 30mins later and still sat in the car waiting .. peak season to low season its always the same 3 kids stuck in a car not good,"it would be nice to clear out my car some more and pass my exams, if I can sort everything out my traffic then I can get a good grade.",Talacre beach's check in process could do with some improvement to reduce the wait time for customers.
52,Morning Twitter-Birds! I'm taking my GRE in 2 hours and am a little stressed right now. So I'm sitting in taking a study-break. I hate my admission to grad school rides on a standardized test after 15 years on the job. BeReal NeverGiveUp Tired,I would love to have a good night's sleep so that I can be at home to study for my exam even when it is coming up so that I can be able to do well.,"Soon the GRE’s will be over, and I’ll be able to further my career."
53,Honestly trying so hard right now to have a freak out.. ugh life stress money..,"ive been feeling stressed, and it is normal for the human nature.","Life is not easy for everyone one, and everyone has money problems and stress."
54,"My dad has been asking for grapes forever. He doesn't want seedless. I've checked at least 10 different places and they only freaking carry seedless. I'm gonna lost my mind if I don't find this man his grapes, cause he's losing his mind and he's gonna keep asking.",vine food is a confusing and he is confusing me so I'm going to ask for help.,Stores need to offer more normal grapes not seedless ones so my dad would stop ragging on me about getting some.
55,Can't Ever Find A Decent Team While Playing LeagueOfLegends . They All Act Retarded .,I'm glad I have a lot of confidence in myself to find a good team.,It's really hard to find a team that I like in League of Legends. Maybe I'll have better luck with one of my other games.
56,So exhausted. :( Only so much I can do in all areas of my life in a day/week but it never ends! :( frustrated,Every day is another day and I hope I will have the energy to complete all my work.,"I have a lot to do, but I’m really proud of myself for keeping it all together."
57,"Could someone just give me like $1000? It would change my life, stressing about rent, bills and food money is just the worst. ineedhelp helpme moneyisstupid",Like getting a good $1000 pay balance gives me a lot of freedom in life,"Time to focus on making a budget, so I don't have to stress about rent, bills, and food money."
58,maybe just maybe I should think about switching sides on my Senior Paper confused Omg,"Maybe I should think about switch my classes, that would be good.",I will talk to my teacher and will figure this out soon.
59,"wish i didnt have this exam tomorrow morning, got enough on my plate to think about","got to get all this work done, so now I can eat.","I have this exam tomorrow morning, got enough on my plate to think about but I just got to study hard today and I will do fine"
60,I'm just really confused about what to do with my life right now I just wish I knew what to do.,confused about what to do with my life #jackofalltrades,"I am a bit confused about my life now, and I hope to get a solution soon."
61,"Not even funny how bad business is going to go tomorrow , why didnt i start studying earlier ?",I’m not even funny how the business may be but I’m sure if I study hard I will figure out the perfect balance between my budget and my skills.,Time to learn to plan better and start my assignments sooner!
62,"To all my friends that think I'm blessed, they don't know my head's a mess""","Even though I am not blessed, I know that the best parents are capable to deal with everything that comes their way.",I hope my mind clears a bit and I get into a positive frame of mind.
63,I'm so p'd off .. I'm going to miss my spin class because of sodding traffic!!!!! Ahhhhhhhh,"I am so excited about going to get some work done in traffic, I hope everything goes well.",I will miss a class because of trafic but I am sure the teacher will understand
64,Having 53480 things to do and taking a nap instead has became a terrible habit of mine lately,I've had 53480 things to do and taking a nap instead has gotten old and I need to learn to be more proactive.,It‚Äôs good that I take naps and times out when I am really busy
65,I need to go for a nice run or something. I don't know I just need to get out of here,I am looking forward to a nice run or something to go out with! I hope to keep going.,"As I wish to get out of here, it would be better if I go for a nice run."
66,"Stressed? Take a few seconds, and try this breaking technique to relieve the pressure. Destress",Stress is just another word to relax. Try this breaking dance to relieve the stress,Do not get stressed. Try this interruption technique and watch your stress disappear like magic along with your pressure.
67,I wish this empty feeling inside would just go away. It's simple you either you wanna be with me or you don't!!,emptiness is the emptiness that makes people go away. Let it fill you up.,I wish this empty feeling inside would just go away or someone will help me.
68,Think I'm getting a canker sore I was literally JUST saying today how long it's been since I've had one. I even knocked on wood.,I will take a long rest and can get a few things out of this painful pain.,"Today I was talking about how long it's been since I had a cold sore and guess what, I have a cold sore. It was even funny!"
69,Gah!! I always go to bed sooo late on nights I need to be up sooo earlytomorrows gonna be such a long day,"I have slept too early, and I am late on tonight. I hope to find a way to get to work earlier.",I think I'll go to sleep earlier to get a good night sleep for tomorrow.
70,want to just hop on a random international bound plane and go where ever it takes me,I wish I was on a foreign plane so that I could go on a trip and relax.,"I need to think more positively, so that I don't feel like running onto a plane and escaping my problems."
71,Job applications handed in. One stressful thing out the way!! Now my next tackle ahead. Forever fighting fires. :(,I have a lot of applications for and jobs to get done and I am excited to handle it.,Job applications handed in. Now my next tackle ahead. I have to be confident
72,So annoyed at myself that I mucked up part of my interview that that's all I can think about.,"I didn't really get the interview that I was so worried about, but I guess I could have learnt a thing or two.",I didn't do very well on my interview but I'll be more prepared next time!
73,"Escape! Im planning to escape aboard a cargo ship to nowhere, to anywhere it takes me.","I am eagerly looking forward to my new home on a cargo ship, and I will be approaching it with a fresh mind!",It would be exciting to escape aboard a cargo ship to some new place.
74,Today has been the worst day ever. Really could use my papa to talk to right now,"This day was not the best, but I know that I can take a few days off from it.",My day was bad but talking with my papa would make me feel a lot better.
75,I hate being in a bad situation and not being able to do anything about it!,It is better to avoid being in a bad situation and hope for the best.,"Bad situations don’t always call for me to do something, it shows me that sometimes I just need to stay calm."
76,6 days before we go on holiday and the mini bus has let us down to go to GatwickFANTASTIC!!!! annoyed cba,"6 days before we go on holiday and the mini bus has let us down. It caused a lot of problems, but now we can go to our holiday.",I will find another mode of transportation.
77,Seriously been extremely too stressed out here lately! When will I ever get a break from it all? ugh,It is normal to be stressed when I am in high spirits.,I have had a lot to contend with recently and have been very brave.
78,"With all this stress on me, Im about to get 2 jobs to keep me from blowing my head off.","With all this stress on me, I feel very happy to have 2 jobs to keep me going.",I have stress but since I have two jobs they will help me get my mind away from it.
79,"Instead of writing my paper, I've now spent an hour trying to figure out how to get to Ithaca","instead of writing my paper, I've made an hour to figure out how to get to Ithaca. I'm going to make it though!","Once I figure out how to get to Ithaca, I will start writing my paper."
80,"sharing the bus with a wasp, trying not to act like a crazy woman  eeeek!!! wasp",ive learned that not all must share the same bus with people.,"Sharing the bus with a wasp, hopefully it will leave me alone if I leave it alone."
81,The fact that my mom has been calling me every night to calm me down from school says so much. I've needed it these past few days,"I need a nice long time to spend with my mom, who is so calmer and helps me through difficult times",I'm really lucky to have such a caring mum who is willing to call me every night when I'm having a hard time.
82,One with such a small brain should not be in charge of organising events scaredihavefoegottensomethingvital,It would be good if someone helps me to make memore responsible.,"My boss has a lot of responsibility to deal with, and I will be of utility for him as long as I work here!"
83,Think I'm going to end up seriously ill if I carry on how I am at the moment :-( exhausted,ive only had a couple of days of hard work and I hope I can get out of this depression soon.,"I am so exhausted, and I hope not to end up getting ill."
84,There's always that one that your gonna randomly think about and get pissed or depressed Life,"There's always that one that you'll randomly think about and get angry, life's like that.","Sometimes you think about things that get you down, but the same thing happens for things that make us feel good, that's how life works"
85,Having a psychology major and a paralegal minor might have been the worst decision I ever made,Having a psychology major and a paralegal minor is a good opportunity to spend more time at my school.,I have really challenged myself doing psychology and law I'll do great.
86,This week has prob been the worst week I have had with school in awhile!,"This week has prob been the worst, but anyway I'm confident that this school year will be amazing.","This week was not the best, but it can get better"
87,Finding out I have to write 2 essays due tomorrow in order to be considered for university killme,I have to write 2 essays due tomorrow in order to be considered for university but if I do that successfully I will get all my work done.,I have to write 2 essays due tomorrow in order to be considered for university. Time to learn to be more organized.
88,Urgh. Fed up! So much to do and definitely not enough time/energy to do everything :(,I'm going to learn not to put my mind off important tasks and focus so that I can complete my tasks on time.,"I have a lot to do. So, I'll plan my time, and get some energy to do everything."
89,Idk what to believe and the fact that one of my bestfriends are lying to me makes this even harder.,"I am so happy to know that my best friend is not real to me, but it feels like I do so.",Finding out that your friend is lying to you is a way of life showing you that you are trusting the wrong people! This is liberating!
90,I realized that I should start getting to work and finish my last few courses.,"I'm going to get my classes and assignments done, so I can have fun afterwards.",I realized that I should start getting to work and finish my last few courses. Better later than never.
91,"Thank you, professor for scheduling a test, lab quiz, and lab report all due on the same day",It is so great to have a two and a half hour class. So glad I have a two and a half hour class.,"The professor scheduled me a test, lab test and lab report for the same. It's time to stop procrastinating, study and prepare."
92,When you try to be responsible and its all thrown back in your face. frustrated,It’s hard to be responsible but’m always good to do the best you can.,"Trying to be responsible and having a lot of problems. The good thing about it is that at least I'm trying and besides, it's normal to have problems, we're learning to deal with it."
93,"So many impromptu things I gotta do before 4. Makeup, shave, do SOMETHING to my hair since it's too hot to leave down","it's too hot, and so I'll have to make a lot of effort to make my hair do, I will feel so good after I do all these things.",I have many things to do but I am capable in doing things fast so I will be done with everything.
94,By the end of this week I will have written 7 essays..that's crazy highschool applications,"I have done a lot of essaying, but I'm going to spend the time more productively with my work.","By the end of this week I will have written 7 essays, really proud of myself and what I have achieved."
95,I must go where Im not required and pick up the pieces of the diseased minds that went before me. racism thursdaymorning,People sometimes demand a lot from others but I accept that.,I need to go by myself and clear my mind of all the troubling issues before me.
96,"Enjoy life's simple pleasures - the outdoors, fav hobbies and laughing with friends to feel grounded and less stressed",The good thing about not being in the dark is that I can spend time enjoying the outdoors with my friends.,"I am thankful that I have outdoors environments to enjoy, hobbies and friends which help me in hard times."
97,I swear to god i just broke down and cried. I was so scared  i thot all my hard work was for nothing.,"I stress too much to cry. But because I really try and do my best, I know the reward will be worth it.",I took a necessary time to cry and drain all my fears.
98,"I need to go drive or shoot my gun annoyed anxiety"" um woah there, youv changed","I am going to need to start using the more reserved time I have acquired, it is much better suited to the needs of others.",I'm feeling anxious so I'm going to go for a drive or shoot my gun to calm down.
99,Everything is coming down on me all at once and I don't know how to handle it.,ive learned that it is not going to be easy for me to deal with all this.,A lot of stressful things are happening at once but it feels better if I think of all the better stuff that can happen after.
100,Is it completely wrong of me to want my kids to take their cell phones to school?? Ugh!,"I'm glad my kids are able to take their cell phones to school, I've had such an opportunity to talk to them today.",I want my kids to take their cell phone to school because it is a great study tool
101,"trying to find a roommate for next year is nuts, but getting somebody random is sketchy. meh.","I can't find a roommate for next year, but getting someone to give me a place to live can be stressful.",Trying to find a roomate for next year is nuts but I'll make it!
102,Great. Got about 3 hours of sleep last night and my hair is literally falling out!,"I slept only 3 hours and my hair is not falling out, but I am glad I still have some sleep.",I didn't sleep much because of the stress but I will come out of it a better and stronger person.
103,"just realised word of the week didn't last long. Last week was , this week is already",I hope the next week will hold a lot of things in store for me.,This week seems to have come fast.
104,I would get the same questions right on a previous test and then get it wrong on this test. mymindisfucked,I would get the same questions right on a previous test and then get it wrong on this test hope I evolve better.,"I have to learn to stay calm, so I don't make mistakes on the tests"
105,when you missed almost 2 weeks of school and exams start in a week and youre still behind,I need to keep my time busy so I can have the time to study.,"I need to prepare for the exam that starts in a week, as I have been without classes for almost 2 weeks and this can harm me."
106,I just found how much work I have to make up at school from being sick. Tomorrow is gonna be a rough day,"I just found out that I have a lot of work to do, and I hope to get out of it soon.",There's so much pending school work since I've been sick. But I'm going to face it and make up for it since I'm feeling better now.
107,"Work tonight was horrendous. 5 hours alone on the kiosk trying to deal with a 6 box delivery, lottery and cigarettes.","5 hours on the kiosk, and 10 plus hours in the kitchen, it's time for a long night!","Work tonight could have been better, but at least I have a job."
108,Week 2 of this semester. . It's going to be a long one. Possibly my hardest yet. If that's even possible.,I am looking forward to a weeks holiday and it will feel so good after it is over.,"This second week of the semester is going to be a long and hard one, but I have decided to put in my best efforts to pass in flying colors."
109,"I want to lay down and die.., but not actually die.. Just wake up at a time when society isn't such a load of bullshit. tired",ive had a tough time with society but I know that I have the strength to handle all of it.,"I wanted to lay down, and wake up at a time when society isn't so bad. But that's life, and I should be enjoying the good parts of it."
110,Stressful day out with my homie. trying to find 15 pairs of the same shoes is hard,It's stressful but it'll be over with soon.,It is of course difficult to find 15 pairs of the same shoes but it can be achieved with some effort.
111,"I don't usually get this worried for exams, but I'm legitimately nervous for fluids tomorrow","I'm nervous about my exams, but I'm going to go through it since it's the most important exam tomorrow.","I don’t usually bother about exams too much, but this time I am a bit nervous about fluids tomorrow."
112,"These are the moments that I wish someone would edit episodes for me, so I can do other work.",I have a lot of these moments when I wish someone would edit them but at least I don't need to edit them for the next time.,These eposodes are really important to get done but if I do them now I can focus in other important things later.
